nr,titel,artiest,jaar
554,We'll meet again,Vera Lynn,1941
555,Wonderful life,Black,1987
556,One of these nights,Eagles,1975
557,Time in a bottle,Jim Croce,1972
558,Heartbreak hotel,Elvis Presley,1956
559,Cambodia,Kim Wilde,1981
560,Halt mich,Herbert Grönemeyer,1988
561,Josephine,Chris Rea,1985
562,Summertime,Billie Holliday,1936
563,Working class hero,John Lennon,1971
564,Het kleine café,Vader Abraham,1976
565,Eight miles high,Byrds,1966
566,Fox on the run,Sweet,1975
567,Blauw,Scene,1991
568,Big in Japan,Alphaville,1984
569,Time is on my side,Rolling Stones,1964
570,Drive,REM,1992
571,On the wings of a nightingale,Everly Brothers,1984
572,15 miljoen mensen,Fluitsma & Van Tijn,1996
573,There must be an angel,Eurythmics,1985
574,Annie's song,John Denver,1976
575,Bicycle race,Queen,1978
576,Il volo,Zucchero,1996
577,You're the devil in disguise,Elvis Presley,1963
578,Summer holiday,Cliff Richard,1963
579,Close to you,Carpenters,1970
580,Rendez-vous 6:02,UK,1979
581,Une belle histoire,Michel Fugain,1972
582,Gold,Spandau Ballet,1983
583,I heard it through the grapevine,Marvin Gaye,1969
584,Tainted love,Soft Cell,1981
585,Meester Prikkebeen,Boudewijn de Groot & Elly Nieman,1967
586,You've lost that loving feeling,Righteous Brothers,1965
587,In dreams,Roy Orbison,1963
588,Celluloid heroes,Kinks,1973
589,Sexual healing,Marvin Gaye,1982
590,Cose della vita,Eros Ramazzotti & Tina Turner,1993
591,Ik kan het niet alleen,De Dijk,1989
592,Guilty,Barbra Streisand,1980
593,Unbreak my heart,Toni Braxton,1996
594,Turn turn turn,Byrds,1965
595,Get ready,Rare Earth,1970
596,Love games,Level 42,1981
597,China in your hand,T'Pau,1987
598,Even aan m'n moeder vragen,Bloem,1980
599,Rhapsody in blue,George Gershwin,1924
600,Ashes to ashes,David Bowie,1980
601,Boogie Wonderland,Earth Wind & Fire,1979
602,On the border,Al Stewart,1977
603,Superstition,Stevie Wonder,1973
604,My home town,Bruce Springsteen,1986
605,Senza una donna,Zucchero Fornaciari,1988
606,Guitar man,Bread,1972
607,Mon amour,BZN,1976
608,Can't get it out of my head,Electric Light Orchestra,1975
609,Annabel,Hans de Booij,1983
610,Back home,Golden Earring,1970
611,I'll find my way home,Jon & Vangelis,1982
612,Vanmorgen vloog ze nog,Tsjechov,1988
613,When a man loves a woman,Percy Sledge,1966
614,This is my life,Shirley Bassey,1979
615,Time of my life,Bill Medley & Jennifer Warnes,1987
616,Honesty,Billy Joel,1979
617,Lessons in love,Level 42,1986
618,Song for guy,Elton John,1979
619,You don't bring me flowers,Neil Diamond & Barbra Streisand,1978
620,If,Bread,1971
621,Uma casa portugesa,Amalia Rodriguez,1956
622,One night,Elvis Presley,1959
623,Lea,Cats,1968
624,Congratulations,Cliff Richard,1968
625,Stir it up,Bob Marley & the Wailers,1979
626,Lucy in the sky with diamonds,Beatles,1967
627,Crying in the rain,Everly Brothers,1962
628,KL 204,Peter Koelewijn,1978
629,Sacrifice,Elton John,1990
630,Driving home for Christmas,Chris Rea,1986
631,Drive,Cars,1984
632,I'll always love you,Dolly Parton,1983
633,You needed me,Anne Murray,1978
634,Do it again,Steely Dan,1972
635,You can call me Al,Paul Simon,1986
636,Don't stop,Fleetwood Mac,1977
637,State of independence,Donna Summer,1982
638,Greatest love of all,Whitney Houston,1986
639,Hilversum 3,Herman van Veen,1984
640,It's a long way there,Little River Band,1976
641,Dancing in the street,David Bowie & Mick Jagger,1985
642,Living next door to Alice,Smokie,1977
643,Max,Paolo Conte,1988
644,Do you wanna dance,Cliff Richard,1962
645,Groovy kind of love,Phil Collins,1988
646,Don't let the sun go down on me,George Michael & Elton John,1991
647,Take my breath away,Berlin,1986
648,I won't let you down,PHD,1981
649,Material girl,Madonna,1985
650,Hopelessly devoted to you,Olivia Newton John,1978
651,Allright now,Free,1970
652,From a distance,Bette Midler,1991
653,Song sung blue,Neil Diamond,1972
654,So long Marianne,Leonard Cohen,1967
655,Something,Beatles,1969
656,Can't stay away from you,Gloria Estefan,1988
657,Don't leave me this way,Communards,1986
658,Sex machine,James Brown,1970
659,China girl,David Bowie,1983
660,Oxygen,Jean Michel Jarre,1977
661,Sound of the screaming day,Golden Earrings,1967
662,Les lacs du Connemara,Michel Sardou,1982
663,Jessie,Joshua Kadison,1994
664,Memories,Earth & Fire,1972
665,Maggie Mae,Rod Stewart,1971
666,My special prayer,Percy Sledge,1969
667,Runaway,Del Shannon,1961
668,Please don't tease,Cliff Richard,1960
669,Get here,Oleta Adams,1990
670,Have you ever really loved a woman,Bryan Adams,1995
671,Live and let die,Paul McCartney & Wings,1973
672,Golden years,David Bowie,1976
673,Monday monday,Mama's & Papa's,1966
674,Wild rover,Dubliners,1964
675,The life I live,Q65,1966
676,I’ve got dreams to remember,Otis Redding,1968
677,I want you to want me,Cheap Trick,1979
678,You've got a friend,James Taylor,1971
679,Love is the drug,Roxy Music,1976
680,When I'm sixty-four,Beatles,1967
681,Why tell me why,Anita Meyer,1981
682,Isn't she lovely,Stevie Wonder,1977
683,Je veux de l'amour,Raymond van het Groenewoud,1980
684,Lyin' eyes,Eagles,1975
685,Suzanne,VOF De Kunst,1983
686,The living years,Mike and the Mechanics,1989
687,Son of a preacher man,Dusty Springfield,1968
688,Black Betty,Ram Jam,1978
689,Daniel,Elton John,1973
690,Isn't it time,Babys,1977
691,The sixteens,Sweet,1974
692,The sun ain't gonna shine anymore,Walker Brothers,1966
693,Foto van vroeger,Rob de Nijs,1980
694,Green green grass of home,Tom Jones,1966
695,She's a rainbow,Rolling Stones,1967
696,Sowing the seeds of love,Tears for Fears,1989
697,The thrill is gone,B.B. King,1997
698,Don't bring me down,Electric Light Orchestra,1979
699,Yesterday once more,Carpenters,1973
700,Alles kan een mens gelukkig maken,René Froger,1989
